SNP	Pval
rs10045403	5.80E-14
rs1018326	0.000002
rs10440635	0.0000003
rs10781500	0.000001
rs10865331	1.90E-19
rs10865331	2.00E-19
rs10865331	7.00E-34
rs11065898	4.70E-08
rs11190133	4.90E-14
rs11209026	9E-14
rs11209026	2.00E-17
rs11209026	2.00E-27
rs11209026	9.10E-14
rs11249215	9E-11
rs1128905	7.00E-09
rs11616188	4E-12
rs11624293	1.50E-10
rs12141575	9.40E-11
rs12146962	0.000009
rs1250550	1.50E-09
rs12615545	1.00E-09
rs13210693	0.0000009
rs1326986	0.000004
rs17095830	0.00000002
rs1801274	1.40E-09
rs1860545	2.80E-10
rs2075726	0.000009
rs2242944	8.30E-20
rs2242944	8.00E-20
rs2297909	5E-12
rs2310173	0.0000005
rs2310173	4.80E-07
rs2531875	1.20E-10
rs27037	8.20E-11
rs27434	5E-12
rs27434	5.30E-12
rs2836883	6.50E-17
rs2910686	4.50E-17
rs30187	2.00E-27
rs30187	4.40E-45
rs35164067	3.40E-10
rs3734523	1.60E-08
rs378108	2E-11
rs4129267	3.40E-13
rs41299637	1.90E-15
rs4333130	0.00000009
rs4349859	0
rs4389526	0.00000009
rs4552569	9E-10
rs4672495	3.20E-09
rs4676410	9.90E-09
rs6556416	0.00000002
rs6600247	2.60E-15
rs6759298	4.90E-47
rs6871626	3.10E-08
rs7282490	6.20E-09
rs7743761	0
rs8070463	0.00000005
rs9901869	6.00E-15
rs10045403	5.00E-08
rs1018326	5.00E-08
rs10440635	5.00E-08
rs10781500	5.00E-08
rs10865331	5.00E-08
rs11065898	5.00E-08
rs11190133	5.00E-08
rs11209026	5.00E-08
rs11249215	5.00E-08
rs1128905	5.00E-08
rs11616188	5.00E-08
rs11624293	5.00E-08
rs11657479	5.00E-08
rs12141575	5.00E-08
rs12146962	5.00E-08
rs12186979	5.00E-08
rs1250550	5.00E-08
rs12615545	5.00E-08
rs13210693	5.00E-08
rs1326986	5.00E-08
rs17095830	5.00E-08
rs17765610	5.00E-08
rs1801274	5.00E-08
rs1860545	5.00E-08
rs2075726	5.00E-08
rs2192752	5.00E-08
rs2242944	5.00E-08
rs2297518	5.00E-08
rs2297909	5.00E-08
rs2310173	5.00E-08
rs2531875	5.00E-08
rs27434	5.00E-08
rs2836883	5.00E-08
rs2910686	5.00E-08
rs30187	5.00E-08
rs35164067	5.00E-08
rs35448675	5.00E-08
rs378108	5.00E-08
rs4129267	5.00E-08
rs41299637	5.00E-08
rs4333130	5.00E-08
rs4349859	5.00E-08
rs4389526	5.00E-08
rs4552569	5.00E-08
rs4676410	5.00E-08
rs4851529	5.00E-08
rs639575	5.00E-08
rs6511701	5.00E-08
rs6556416	5.00E-08
rs6600247	5.00E-08
rs6759298	5.00E-08
rs6871626	5.00E-08
rs7282490	5.00E-08
rs75301646	5.00E-08
rs7743761	5.00E-08
rs7954567	5.00E-08
rs8070463	5.00E-08
rs9901869	5.00E-08
rs3184504	5.00E-08
rs367569	5.00E-08
rs2266961	5.00E-08
rs6058869	5.00E-08
rs61839660	5.00E-08
rs80174646	5.00E-08
rs26528	5.00E-08
rs3749171	5.00E-08
rs74956615	5.00E-08
rs10761648	5.00E-08
rs35667974	5.00E-08
rs13407913	5.00E-08
rs679574	5.00E-08
rs1569328	5.00E-08
rs35074907	5.00E-08
rs10750899	5.00E-08
rs1292035	5.00E-08
rs12968719	5.00E-08
rs72871627	5.00E-08
rs6556411	5.00E-08
rs395157	5.00E-08
rs3774937	5.00E-08
rs12720356	5.00E-08
rs183686347	5.00E-08
rs2451258	5.00E-08
rs35018800	5.00E-08
rs9977672	5.00E-08
rs4456788	5.00E-08
rs6693105	5.00E-08
rs11676348	5.00E-08
rs6062496	5.00E-08
rs661054	5.00E-08
rs4655215	5.00E-08
rs2111485	5.00E-08
