SNP	Pval
rs33980500	2.65E-16
rs4921482	1.47E-15
rs12044149	2.25E-15
rs2020854	7.73E-10
rs34725611	2.99E-09
rs76956521	4.98E-09
rs4795067	1.94E-07
rs984971	3.62E-06
rs7523412	5.42E-06
rs848	1.05E-05
rs7552167	1.53E-05
rs6063454	2.90E-05
rs1306395	2.99E-05
rs1133071	3.36E-05
rs892085	4.02E-05
rs2298428	4.38E-05
rs6713082	4.59E-05
rs8016947	9.65E-05
rs4796659	0.000132
rs62376445	0.000174
rs610604	0.000325
rs7761186	0.000709
rs645078	0.00086
rs11121129	0.000934
rs4936059	0.001475
rs12928822	0.001593
rs6693105	0.002892
rs7197717	0.003544
rs4561177	0.003782
rs73112675	0.004116
rs602422	0.004767
rs1972346	0.008258
rs11652075	0.01423
rs1973919	0.01812
rs12236285	0.03838
rs2477077	1.20E-06
rs715285	2.65E-10
rs10484554	4.06E-214
rs10484554	6.13E-232
rs1056198	1.50E-14
rs10865331	4.70E-10
rs10979182	2.30E-08
rs11065979	2.63E-06
rs11121129	1.70E-08
rs11209026	6.10E-09
rs11209026	7.13E-07
rs11652075	3.40E-08
rs11795343	8.40E-11
rs12188300	3.20E-53
rs12188300	7.00E-17
rs12445568	1.20E-16
rs1250546	6.80E-07
rs1270942	4.70E-09
rs12720356	4.04E-11
rs12720356	4.37E-06
rs1295685	3.40E-10
rs13017599	0.00000001
rs13191343	0
rs17716942	1.06E-13
rs17716942	3.30E-18
rs1799964	1.57E-07
rs1990760	1.95E-08
rs2066808	2.49E-07
rs2066819	5.40E-17
rs2111485	2.37E-08
rs2233278	2.20E-42
rs2235617	1.65E-06
rs2304256	1.05E-09
rs240993	2.81E-09
rs240993	5.29E-20
rs2442719	6.57E-37
rs2451258	3.40E-08
rs2546890	1.13E-12
rs2700987	4.30E-09
rs27037	3.99E-08
rs27432	1.90E-20
rs27524	1.57E-06
rs27524	2.56E-11
rs280519	4.42E-09
rs280519	6.91E-06
rs28998802	3.30E-16
rs30187	1.85E-08
rs3129716	1.69E-10
rs3129889	9.54E-08
rs3135394	7.34E-09
rs3213094	4.93E-11
rs3213094	7.73E-10
rs33980500	1.00E-20
rs33980500	4.20E-45
rs34536443	9.10E-31
rs34695944	2.37E-06
rs367569	4.90E-08
rs3802826	1.00E-09
rs3851228	1.57E-10
rs4112788	3.32E-10
rs4112788	3.41E-15
rs4406273	0
rs4561177	7.70E-13
rs458017	2.16E-16
rs458017	4.09E-12
rs4821124	3.80E-08
rs532098	4.73E-25
rs545979	3.50E-10
rs582757	2.20E-25
rs62149416	1.80E-17
rs6556412	1.33E-11
rs6677595	2.10E-33
rs6932730	6.59E-33
rs702873	0.0000002
rs702873	3.59E-09
rs702873	3.64E-06
rs7536201	2.30E-12
rs7552167	8.50E-12
rs8016947	1.52E-11
rs8016947	2.50E-17
rs892085	3.00E-17
rs9264942	1.40E-77
rs9271366	2.84E-08
rs9271588	1.77E-15
rs9504361	2.10E-11
rs963986	5.30E-09
rs9988642	1.10E-26
rs10045403	5.00E-08
rs1018326	5.00E-08
rs10440635	5.00E-08
rs10781500	5.00E-08
rs10865331	5.00E-08
rs11065898	5.00E-08
rs11190133	5.00E-08
rs11209026	5.00E-08
rs11249215	5.00E-08
rs1128905	5.00E-08
rs11616188	5.00E-08
rs11624293	5.00E-08
rs11657479	5.00E-08
rs12141575	5.00E-08
rs12146962	5.00E-08
rs12186979	5.00E-08
rs1250550	5.00E-08
rs12615545	5.00E-08
rs13210693	5.00E-08
rs1326986	5.00E-08
rs17095830	5.00E-08
rs17765610	5.00E-08
rs1801274	5.00E-08
rs1860545	5.00E-08
rs2075726	5.00E-08
rs2192752	5.00E-08
rs2242944	5.00E-08
rs2297518	5.00E-08
rs2297909	5.00E-08
rs2310173	5.00E-08
rs2531875	5.00E-08
rs27434	5.00E-08
rs2836883	5.00E-08
rs2910686	5.00E-08
rs30187	5.00E-08
rs35164067	5.00E-08
rs35448675	5.00E-08
rs378108	5.00E-08
rs4129267	5.00E-08
rs41299637	5.00E-08
