SNP	Pval
rs2476601	1.10E-28
rs1801274	1.04E-12
rs704840	3.12E-19
rs17849501	3.45E-88
rs3024505	4.64E-09
rs9782955	1.25E-09
rs6740462	2.67E-05
rs2111485	1.27E-11
rs11889341	5.59E-122
rs3768792	1.21E-13
rs9311676	3.06E-14
rs564799	1.54E-09
rs10028805	4.31E-17
rs7726414	4.44E-16
rs10036748	1.27E-45
rs2431697	8.01E-28
rs1270942	2.25E-165
rs9462027	7.55E-09
rs6568431	5.04E-14
rs6932056	1.97E-31
rs849142	8.61E-11
rs4917014	6.39E-14
rs10488631	9.37E-110
rs2736340	6.28E-20
rs2663052	5.25E-09
rs4948496	1.04E-10
rs12802200	8.81E-10
rs2732549	1.20E-23
rs3794060	1.32E-20
rs7941765	1.35E-10
rs10774625	4.09E-09
rs1059312	1.48E-13
rs4902562	6.15E-10
rs2289583	6.22E-15
rs9652601	7.42E-17
rs34572943	3.39E-76
rs11644034	9.58E-18
rs2286672	2.93E-09
rs2941509	7.98E-09
rs2304256	3.50E-13
rs7444	1.84E-22
rs887369	5.26E-10
rs1734787	1.78E-15
rs10028805	4.31E-17
rs10036748	0.000000002
rs10036748	0.000003
rs10036748	1.27E-45
rs10041935	0.000003
rs10276619	0.000006
rs1028488	0.0000002
rs10488631	2E-11
rs10488631	1.50E-13
rs10488631	7.00E-18
rs10488631	9.37E-110
rs1049564	0.0000001
rs10498070	0.0000002
rs10499197	0.000000002
rs10516487	4E-10
rs1059312	1.48E-13
rs10737562	0.000007
rs10774625	4.09E-09
rs10798269	0.0000001
rs10845606	4.00E-17
rs10911390	0.000006
rs10911628	2.30E-13
rs11073328	9.90E-15
rs11101442	0.000003
rs11150610	0.000002
rs11243676	0.000003
rs1128334	2E-11
rs1133906	0.0000002
rs1150754	6.00E-29
rs11574637	3E-11
rs11644034	9.58E-18
rs1167796	0.00000002
rs11697848	1.40E-11
rs11717455	0.000007
rs11755393	2.20E-08
rs11860650	1E-10
rs11860650	1.90E-20
rs11889341	5.59E-122
rs12141391	0.000007
rs12529935	0.000009
rs12531711	6E-13
rs12531711	0.000000006
rs12537284	4.00E-19
rs12599402	0.0000005
rs12629106	0.000004
rs1270942	2.25E-165
rs12711490	3E-10
rs12802200	8.81E-10
rs12822507	0.00000002
rs12917712	0.000007
rs12949531	0.000008
rs131654	1.00E-16
rs13239597	1.00E-29
rs13277113	1E-10
rs13277113	2E-10
rs13385731	1E-15
rs13385731	0.000004
rs1355223	0.000004
rs1364989	0.0000005
rs1385374	2E-11
rs1385374	0.00000008
rs1429411	0.000005
rs1463525	0.000008
rs1535001	0.0000003
rs1635852	0.00000002
rs16860537	0.000005
rs17039212	0.000009
rs17083844	0.000006
rs1734787	1.78E-15
rs17849501	3.45E-88
rs1801274	1.04E-12
rs1913517	7E-12
rs2051549	3.00E-22
rs2070197	5.80E-24
rs2111485	1.27E-11
rs2176082	5E-11
rs2187668	3.00E-21
rs2187668	6.00E-28
rs2205960	3E-12
rs2205960	3.00E-32
rs2205960	6.30E-09
rs2222631	0.00000005
rs2230926	1E-13
rs2230926	1.00E-17
rs2236178	0.000005
rs2252996	0.000003
rs2254546	2E-13
rs2269368	7.50E-07
rs2275247	1E-10
rs2286672	2.93E-09
rs2289583	6.22E-15
rs2301271	2E-12
rs2303745	0.000001
rs2304256	3.50E-13
rs2313132	0.000008
rs2396545	0.000008
rs2431697	0.000002
rs2431697	8.01E-28
rs2476601	1.10E-28
rs2476601	3.40E-12
rs2478118	0.000005
rs2618476	0.00000002
rs2647012	0.0000003
rs2647012	0.000008
rs2663052	5.25E-09
rs2669010	0.000005
rs2732549	1.20E-23
